v2paid,country_text_id,v2paenname,v2paorname,v2pashname,aliases,year,v2pariglef,v2pariglef_ord,v2xpa_antiplural,v2xpa_popul
4365,ARM,Pan-Armenian National Movement,Armenian: Հայոց Համազգային Շարժում,HHS,HHS | Hayots Hamazgain Sharzhum | Hayots Hamazgayin Shargzum | PANM | Pan-Armenian National Movement | Pan-Armenian National Movement Party | ՀՀՇ | Հայոց Համազգային Շարժում,1995,3.232,5.0,0.918,0.091
4539,ARM,Armenian National Congress,,HAK,ANC | Armenian National Congress | HAK | Hay Azgayin Kongres | Հայ Ազգային Կոնգրես,2012,2.296,5.0,0.436,0.809
7507,ARM,Bright Armenia,Armenian: Լուսավոր Հայաստան,BA,BA | Bright Armenia | Lusawor Hajastan | Լուսավոր Հայաստան,2018,1.389,4.0,0.036,0.505
7508,ARM,My Step Alliance,Armenian: «Իմ Քայլը» դաշինք,IKD,IKD | Im Kayly Dashink | Im Kaylə dashink’ | My Step Alliance,2018,1.43,4.0,0.437,0.667
93510,ARM,alliance: Right and Unity,,Right and Unity,,1999,0.436,3.0,0.813,0.554
93511,ARM,alliance: Tsarukyan Alliance,,Tsarukyan Al...,,2017,0.637,4.0,0.689,0.612
93512,ARM,alliance: Way Out Alliance,,Way Out Alli...,,2017,1.57,4.0,0.138,0.876
285,AUS,Liberal National Party of Queensland,,LNPQ,LNP | LNPQ | Liberal National Party | Liberal National Party of Queensland | Liberal-National | Liberal-National Party ( Queensland) | Liberal/National Party,2019,1.419,4.0,0.035,0.369
424,AUS,Australian Labor Party,,ALP,ALP | Australian Labor | Australian Labor Party | Australian Labor Party - ALP | Australian Labour Party | Lab | Labor | Labor Party | Labour | NA,2019,-1.282,2.0,0.037,0.515
486,AUS,Liberal Party of Australia,,LPA,Australian Liberal Party | LIB | LP | LP/LPA | LPA | Lib | Liberal | Liberal Party | Liberal Party of Australia | Liberal-Country | Liberals | NA,2019,0.972,4.0,0.036,0.204
990,AUS,Australian Democrats,,AD,AD | Australian Democrats | Dem | Democrat | NA,2001,-1.328,2.0,0.024,0.27
1162,AUS,One Nation Party,,ONP,Hanson/One Nation | NA | ON | ONP | One Nation | One Nation Party | Pauline Hanson's One Nation,1998,1.63,4.0,0.185,0.91
1209,AUS,Australian Greens,,AG,AG | Australia Greens | Australian Greens | GRN | Green | Green Party of Australia | Greens | NA | The Green Party of Australia | The Greens,2019,-2.765,1.0,0.026,0.377
1540,AUS,Democratic Labour Party,,DLP,ALP | Australian Labour Party | DLP | Democratic Labor Party | Democratic Labour Party,1972,1.35,4.0,0.046,0.391
1743,AUS,Australian Country Party / National Party of Australia,,ACP-NPA,ACP | ACP-NPA | ACPNPA | Australian Country Party | Australian Country Party / National Party of Australia | CNT | Country | Country Party | NA | NCP NPA | NP | NP/NPA | NPA | Nat | National (Country) Party National Party of Australia | National Country Party of Australia | National Party | National Party of Australia,2007,1.449,4.0,0.036,0.363
1996,AUS,Palmer United Party,,PUP,PUAP | PUP | Palmer United Australia Party | Palmer United Party | UAP | United Australia Party,2013,1.451,4.0,0.081,0.912
463,AUT,Freedom Party of Austria,,FPO,Austrian Freedom Party | Austrian Freedom or Liberal Party (League of Independence) | Die Freiheitlichen | FPO | FPOE | FPÖ | Freedom Movement | Freedom Party | Freedom Party of Austria | Freiheitliche Partei | Freiheitliche Partei Osterreichs | Freiheitliche Partei Österreichs | Freiheitliche Partei Österreichs (FPÖ) | Freiheitliche Partei Österreichs – FPÖ | League of Independents,2019,1.447,4.0,0.387,0.782
599,AUT,Alliance for the Future of Austria,,BZO,AFA | Alliance for the Future | Alliance for the Future of Aus | Alliance for the Future of Austria | Alliance for the Future of Austria - Jorg Haider's List | Alliance for the future of Austria | BZO | BZOE | BZÖ | Bundnis Zukunft Osterreich | Bündnis Zukunft Österreich | Bündnis Zukunft Österreich (BZÖ) | Bündnis Zukunft Österreich – Liste Jörg Haider | Bündnis Zukunft Österreichs,2008,1.948,5.0,0.318,0.545
605,AUT,Liberal Forum,,LIF,LF | LIB | LIF | LiF | Liberal Forum | Liberal Forum-Heide Schmidt | Liberal Forum; NEOS—The New Austria and Liberal Forum | Liberal Party | Liberales Forum | Liberales Forum; NEOS—Das Neue Österreich und Liberales Forum,1995,1.085,4.0,0.022,0.243
1329,AUT,Austrian People's Party,,OVP,Austrian People's Party | Austrian Peoples Party | Austrian People’s Party | Christian Social Party | OEVP | OVP | Osterreichische Volkspartei | People's | People's Party | Volkspartei | ÖVP | ÖVP Kurz | Österreichische Volkspartei | Österreichische Volkspartei (ÖVP) | Österreichische Volkspartei - ÖVP,2019,0.854,4.0,0.068,0.192
1384,AUT,Social Democratic Party of Austria,,SPO,Austrian Social Democratic Party | Austrian Socialist Party | SDAP | SPO | SPOE | SPÖ | Social Democratic | Social Democratic Party | Social Democratic Party of Austria | Social Democratic Workers' Party | Socialist | Socialist Party | Socialist Party of Austria | Socialists | Sozialdemokratische Arbeiterpartei | Sozialdemokratische Partei Osterreichs | Sozialdemokratische Partei Österreichs | Sozialdemokratische Partei Österreichs (SPÖ) | Sozialistische Partei | Sozialistische Partei Österreichs | Sozialistische Partei Österreichs – SPÖ | The Social Democratic Party of Austria,2019,-0.182,3.0,0.056,0.192
